TEG_recirc_rate,no_of_equili_stages,temp,stripping_rate,water_content_spec
2.475,2,400,0,1
2.507,2,400,0,1
2.539,2,400,0,1
2.571,2,400,0,1
2.604,2,400,0,1
2.636,2,400,0,1
2.668,2,400,0,1
2.700,2,400,0,0
2.739,2,400,0,0
2.779,2,400,0,0
2.818,2,400,0,0
2.857,2,400,0,0
2.896,2,400,0,0
2.936,2,400,0,0
2.975,2,400,0,0
3.014,2,400,0,0
3.054,2,400,0,0
3.093,2,400,0,0
3.132,2,400,0,0
3.171,2,400,0,0
3.211,2,400,0,0
3.250,2,400,0,0
3.289,2,400,0,0
3.329,2,400,0,0
3.368,2,400,0,0
3.407,2,400,0,0
3.446,2,400,0,0
3.486,2,400,0,0
3.525,2,400,0,0
3.564,2,400,0,0
3.604,2,400,0,0
3.643,2,400,0,0
3.682,2,400,0,0
3.721,2,400,0,0
3.761,2,400,0,0
3.800,2,400,0,0
3.811,2,400,0,0
3.821,2,400,0,0
3.832,2,400,0,0
3.843,2,400,0,0
3.854,2,400,0,0
3.864,2,400,0,0
3.875,2,400,0,0
3.886,2,400,0,0
3.896,2,400,0,0
3.907,2,400,0,0
3.918,2,400,0,0
3.929,2,400,0,0
3.939,2,400,0,0
3.950,2,400,0,0
3.961,2,400,0,0
3.971,2,400,0,0
3.982,2,400,0,0
3.993,2,400,0,0
4.004,2,400,0,0
4.014,2,400,0,0
4.025,2,400,0,0
4.036,2,400,0,0
4.046,2,400,0,0
4.057,2,400,0,0
4.068,2,400,0,0
4.079,2,400,0,0
4.089,2,400,0,0
4.100,2,400,0,0
4.211,2,400,0,0
4.321,2,400,0,0
4.432,2,400,0,0
4.543,2,400,0,0
4.654,2,400,0,0
4.764,2,400,0,0
4.875,2,400,0,0
4.986,2,400,0,0
5.096,2,400,0,0
5.207,2,400,0,0
5.318,2,400,0,0
5.429,2,400,0,0
5.539,2,400,0,0
5.650,2,400,0,0
5.761,2,400,0,0
5.871,2,400,0,0
5.982,2,400,0,0
6.093,2,400,0,0
6.204,2,400,0,0
6.314,2,400,0,0
6.425,2,400,0,0
6.536,2,400,0,0
6.646,2,400,0,0
6.757,2,400,0,0
6.868,2,400,0,0
6.979,2,400,0,0
7.089,2,400,0,0
7.200,2,400,0,0
1.600,3,360,0,1
1.611,3,360,0,1
1.621,3,360,0,1
1.632,3,360,0,1
1.643,3,360,0,1
1.654,3,360,0,1
1.664,3,360,0,1
1.675,3,360,0,1
1.686,3,360,0,1
1.696,3,360,0,1
1.707,3,360,0,1
1.718,3,360,0,1
1.729,3,360,0,1
1.739,3,360,0,1
1.750,3,360,0,1
1.761,3,360,0,1
1.771,3,360,0,1
1.782,3,360,0,1
1.793,3,360,0,1
1.804,3,360,0,1
1.814,3,360,0,1
1.825,3,360,0,1
1.836,3,360,0,1
1.846,3,360,0,1
1.857,3,360,0,1
1.868,3,360,0,1
1.879,3,360,0,1
1.889,3,360,0,1
1.900,3,360,0,1
1.921,3,360,0,1
1.943,3,360,0,1
1.964,3,360,0,1
1.986,3,360,0,1
2.007,3,360,0,1
2.029,3,360,0,1
2.050,3,360,0,1
2.071,3,360,0,1
2.093,3,360,0,1
2.114,3,360,0,1
2.518,3,360,0,1
2.536,3,360,0,1
2.554,3,360,0,1
2.571,3,360,0,1
2.589,3,360,0,1
2.607,3,360,0,1
2.625,3,360,0,1
2.643,3,360,0,1
2.661,3,360,0,1
2.679,3,360,0,1
2.696,3,360,0,1
2.714,3,360,0,1
2.732,3,360,0,1
2.750,3,360,0,1
2.768,3,360,0,1
2.786,3,360,0,1
2.804,3,360,0,1
2.821,3,360,0,1
2.839,3,360,0,1
2.857,3,360,0,1
2.875,3,360,0,1
2.893,3,360,0,1
2.911,3,360,0,1
2.929,3,360,0,1
2.946,3,360,0,1
2.964,3,360,0,1
2.982,3,360,0,1
3.000,3,360,0,1
3.018,3,360,0,1
3.036,3,360,0,1
3.054,3,360,0,1
3.071,3,360,0,1
3.089,3,360,0,1
3.107,3,360,0,1
3.125,3,360,0,1
3.143,3,360,0,1
3.161,3,360,0,1
3.179,3,360,0,1
3.196,3,360,0,1
3.214,3,360,0,1
3.232,3,360,0,1
3.250,3,360,0,1
3.268,3,360,0,1
3.286,3,360,0,1
3.304,3,360,0,1
3.321,3,360,0,1
3.339,3,360,0,1
3.357,3,360,0,1
3.375,3,360,0,1
3.393,3,360,0,1
3.411,3,360,0,1
3.429,3,360,0,1
3.446,3,360,0,1
3.464,3,360,0,1
3.482,3,360,0,1
3.500,3,360,0,1
3.525,3,360,0,1
3.550,3,360,0,1
3.575,3,360,0,1
3.600,3,360,0,1
3.625,3,360,0,1
3.650,3,360,0,1
3.675,3,360,0,1
3.700,3,360,0,1
3.725,3,360,0,1
3.750,3,360,0,1
3.775,3,360,0,1
3.800,3,360,0,1
3.825,3,360,0,1
3.850,3,360,0,1
3.875,3,360,0,1
3.900,3,360,0,1
3.925,3,360,0,1
3.950,3,360,0,1
3.975,3,360,0,1
4.000,3,360,0,1
4.025,3,360,0,1
4.050,3,360,0,1
4.075,3,360,0,1
4.100,3,360,0,1
4.125,3,360,0,1
4.150,3,360,0,1
4.175,3,360,0,1
4.200,3,360,0,1
4.325,3,360,0,1
4.450,3,360,0,1
4.575,3,360,0,1
4.700,3,360,0,1
4.825,3,360,0,1
4.950,3,360,0,1
5.075,3,360,0,1
5.200,3,360,0,1
5.325,3,360,0,1
5.450,3,360,0,1
5.575,3,360,0,1
5.700,3,360,0,1
5.825,3,360,0,1
5.950,3,360,0,1
6.075,3,360,0,1
6.200,3,360,0,1
6.325,3,360,0,1
6.450,3,360,0,1
6.575,3,360,0,1
6.700,3,360,0,1
6.825,3,360,0,1
6.950,3,360,0,1
7.075,3,360,0,1
7.200,3,360,0,1
7.325,3,360,0,1
7.450,3,360,0,1
7.575,3,360,0,1
7.700,3,360,0,1
1.200,3,380,0,1
1.218,3,380,0,1
1.236,3,380,0,1
1.254,3,380,0,1
1.271,3,380,0,1
1.289,3,380,0,1
1.307,3,380,0,1
1.325,3,380,0,1
1.343,3,380,0,1
1.361,3,380,0,1
1.379,3,380,0,1
1.396,3,380,0,1
1.414,3,380,0,1
1.432,3,380,0,1
1.450,3,380,0,1
1.468,3,380,0,1
1.486,3,380,0,1
1.504,3,380,0,1
1.521,3,380,0,1
1.539,3,380,0,1
1.557,3,380,0,1
1.575,3,380,0,1
1.593,3,380,0,1
1.611,3,380,0,1
1.629,3,380,0,1
1.646,3,380,0,1
1.664,3,380,0,1
1.682,3,380,0,1
1.700,3,380,0,1
1.714,3,380,0,1
1.729,3,380,0,1
1.743,3,380,0,1
1.757,3,380,0,1
1.771,3,380,0,1
1.786,3,380,0,1
1.800,3,380,0,1
1.814,3,380,0,1
1.829,3,380,0,1
1.843,3,380,0,1
1.857,3,380,0,1
1.871,3,380,0,1
1.886,3,380,0,1
1.900,3,380,0,1
1.914,3,380,0,1
1.929,3,380,0,1
1.943,3,380,0,1
1.957,3,380,0,1
1.971,3,380,0,1
1.986,3,380,0,1
2.000,3,380,0,1
2.014,3,380,0,1
2.029,3,380,0,1
2.043,3,380,0,1
2.057,3,380,0,1
2.071,3,380,0,1
2.086,3,380,0,1
2.100,3,380,0,1
2.118,3,380,0,1
2.136,3,380,0,1
